route_path,page_type,title,meta_description,h1,h2_list,faq_questions,schema_types_present,primary_keyword,secondary_keywords,internal_links_out,in_sitemap,noindex
/,home,UtilSpot — Free Online Calculators & Utility Tools,"Free online tools: EMI calculator, income tax calculator, SIP calculator, TDEE calculator, word counter, QR code generator, GST invoice. No signup, instant results.",The Right Tool for Every Decision.,All Tools,,Organization,free online calculators India,EMI calculator|income tax calculator|SIP calculator|QR code generator|GST invoice generator,28,true,false
/emi-calculator,static tool,EMI Calculator — Free Home Car & Personal Loan Calculator India 2025,Calculate your monthly EMI instantly. Free EMI calculator for home loan car loan and personal loan with full amortization schedule. No signup required.,EMI Calculator — Calculate Your Monthly Loan EMI Instantly,What is EMI and How is it Calculated?|Frequently Asked Questions|Related Tools,What is EMI?|How is EMI calculated?|What is a good EMI to salary ratio?|Can I prepay my loan?|Which bank has lowest home loan rate?|How does loan tenure affect EMI?,WebApplication|FAQPage|BreadcrumbList,EMI calculator India,home loan EMI calculator|car loan EMI calculator|personal loan EMI|amortization schedule,4,true,false
/income-tax-calculator,static tool,Income Tax Calculator FY 2025-26 — New vs Old Regime Comparison India,"Calculate income tax for FY 2025-26. Compare new vs old tax regime side-by-side and find out which saves more. Includes HRA, 80C, 80D, NPS, home loan deductions.",Income Tax Calculator FY 2025-26 — New vs Old Regime,New vs Old Tax Regime — FY 2025-26|Frequently Asked Questions|Related Tools,New vs old regime — which to choose?|Is ₹12L really tax-free?|What is Section 80C?|How is HRA exemption calculated?|When should I stay in old regime?|What is the standard deduction?,WebApplication|FAQPage|BreadcrumbList,income tax calculator FY 2025-26,new vs old regime calculator|Section 80C|HRA exemption|income tax India 2025,4,true,false
/salary-calculator,static tool,CTC to In-Hand Salary Calculator 2026 — New Labour Code Impact,"Calculate your take-home salary under India's new Labour Code rules. See how the 50% basic wage rule affects your PF, gratuity, and monthly in-hand pay. Updated for Nov 2025 changes.",CTC to In-Hand Salary Calculator — India 2026,Understanding Your Salary Structure in India|Frequently Asked Questions|Related Tools,What is CTC vs in-hand salary?|How is HRA calculated?|How much PF is deducted?|What is professional tax?|How is income tax TDS calculated?|How to increase in-hand salary?,WebApplication|FAQPage|BreadcrumbList,CTC to in-hand salary calculator,salary calculator India|take home salary calculator|PF deduction|professional tax,6,true,false
/sip-calculator,static tool,SIP Calculator — Calculate Mutual Fund SIP Returns & Goal Planning India,Free SIP calculator to estimate mutual fund returns plan investment goals and calculate lump sum growth. Set a target and find the monthly SIP amount needed.,SIP Calculator — Calculate Mutual Fund Returns & Plan Your Goals,Power of SIP — The Compounding Effect|₹5000/month SIP — What You Get|Frequently Asked Questions|Related Tools,What is SIP?|How to become crorepati with SIP?|What return rate to assume?|SIP vs lump sum?|SIP vs FD?|What is rupee cost averaging?,WebApplication|FAQPage|BreadcrumbList,SIP calculator,mutual fund SIP calculator|SIP returns|goal based SIP|lump sum calculator India,4,true,false
/word-counter,static tool,Word Counter — Free Online Word Count & Character Counter Tool,Count words characters sentences reading time and keyword density instantly. Free online word counter with Flesch readability score. No signup required.,Word Counter — Count Words Characters & Reading Time Instantly,About This Word Counter|What Gets Counted|Reading Time vs Speaking Time|Word Count Guidelines for Common Tasks|Frequently Asked Questions|Related Tools,How many words in 5-minute speech?|Ideal blog word count?|How many words in a tweet?|How is reading time calculated?|What is Flesch score?|What is keyword density?,WebApplication|FAQPage|BreadcrumbList,word counter online,character counter|reading time calculator|word count tool|keyword density checker,4,true,false
/tdee-calculator,static tool,TDEE Calculator — Calculate Total Daily Energy Expenditure & Macros Free,"Calculate your TDEE, BMR, and daily macro targets for weight loss, muscle gain, or maintenance. Free TDEE calculator using Mifflin-St Jeor equation.",TDEE Calculator — Find Your Daily Calorie & Macro Targets,Understanding Your TDEE Results|How to Use Your TDEE|Activity Level Guide|Frequently Asked Questions|Related Tools,What is TDEE?|BMR vs TDEE difference?|How many calories for weight loss?|What are macros?|What BMR formula is used?|How accurate is TDEE?,WebApplication|FAQPage|BreadcrumbList,TDEE calculator,BMR calculator|calorie calculator|macro calculator|daily calorie needs India,4,true,false
/invoice-generator,static tool,Free GST Invoice Generator India — Create & Download PDF Invoice Online,"Create professional GST-compliant invoices and download as PDF instantly. Free online invoice generator for freelancers and businesses in India. No signup required.",Free GST Invoice Generator — No Signup Download PDF Instantly,What Makes a Valid GST Invoice in India?|Mandatory Fields on a GST Invoice|CGST + SGST vs IGST — When to Use Which|GST Invoice Numbering Rules|Who Needs to Issue GST Invoices?|HSN and SAC Codes|Frequently Asked Questions|Related Tools,Is this GST compliant?|Do I need to sign up?|CGST/SGST vs IGST — which to use?|What are GST rates for services?|Is data saved?,WebApplication|FAQPage|BreadcrumbList,GST invoice generator India,free invoice generator India|GST invoice PDF|invoice maker India|CGST SGST IGST,4,true,false
/construction-cost-calculator,static tool,Construction Cost Calculator India 2026 — Cost Per Sqft by City,"Calculate home construction cost in India. City-specific rates per sqft for basic, standard, and premium construction. Updated 2025 rates for 30+ cities.",Construction Cost Calculator India 2026 — Cost Per Sqft by City,Home Construction Cost in India — 2025 Guide|Why Construction Costs Vary by City|Breaking Down the Construction Budget|Hidden Costs to Budget For|2025 Construction Rate Trends|How to Use This Calculator|Frequently Asked Questions|Related Tools,Average cost per sqft in India?|Basic vs standard vs premium construction?|How long does construction take?|What are cost components?|1000 sqft Bangalore cost?|How to reduce costs?,WebApplication|FAQPage|BreadcrumbList,construction cost calculator India,construction cost per sqft India|home building cost|construction estimate India 2025,4,true,false
/pf-calculator,static tool,EPF PF Calculator 2026 — Calculate Your PF Corpus & Retirement Savings,"Project your EPF corpus at retirement with year-by-year growth chart. Apply the new Labour Code 50% wage rule. Current EPF rate 8.25%. Free PF calculator India.",PF & EPF Corpus Calculator — Project Your Retirement Savings,How EPF Works and Why It Matters|Employee vs Employer Contribution Split|The Power of Compounding|New Labour Code Impact on PF|Frequently Asked Questions|Related Tools,What is current EPF rate?|How is corpus calculated?|When can I withdraw PF?|How does new Labour Code affect PF?|Is PF interest taxable?,WebApplication|FAQPage|BreadcrumbList,EPF PF calculator India,PF corpus calculator|EPF retirement calculator|employee provident fund|EPF rate 8.25%,4,true,false
/gratuity-calculator,static tool,Gratuity Calculator 2026 — New Labour Code Rules & Tax Exemption,"Calculate gratuity under India's new Labour Code rules. Fixed-term employees now qualify after 1 year. Tax exemption up to ₹20L. Updated for Nov 2025 changes.",Gratuity Calculator 2026 — New Labour Code Rules,Gratuity Formula & New Labour Code Rules|The Formula|What Changed Under New Labour Code|Example: 8 Years Service|Frequently Asked Questions|Related Tools,What is gratuity formula?|Minimum years for eligibility?|Is gratuity taxable?|Fixed-term employees under new Labour Code?|Does gratuity increase with salary?,WebApplication|FAQPage|BreadcrumbList,gratuity calculator India 2026,gratuity formula|new labour code gratuity|gratuity tax exemption ₹20L|fixed term contract gratuity,4,true,false
